code,name,period,credits,prerequisites
1A,Introdução às Ciências Experimentais,1,"[1, 2, 0, 0]",[]
1B,Pensamento Computacional I,1,"[4, 0, 0, 0]",[]
1C,Geometria Analítica I,1,"[4, 0, 0, 0]",[]
1D,Cálculo I,1,"[4, 0, 0, 0]",[]
2A,Mecânica Básica,2,"[3, 1, 0, 0]",["1A", "1D"]
2B,Pensamento Computacional II,2,"[4, 0, 0, 0]",["1B", "1C"]
2C,Cálculo II,2,"[4, 0, 0, 0]",["1D"]
3A,Mecânica,3,"[3, 1, 0, 0]",["2A", "2C"]
3B,Álgebra Linear,3,"[4, 0, 0, 0]",["1C"]
3C,Cálculo III,3,"[4, 0, 0, 0]",["2C"]
4A,Física Térmica,4,"[3, 1, 0, 0]",["3A", "3C"]
4B,Eletromagnetismo Básico,4,"[3, 1, 0, 0]",["3A", "3C"]
4C,Cálculo IV,4,"[4, 0, 0, 0]",["3C"]
4D,Projetos de Ensino de Física Térmica,4,"[0, 0, 3, 0]",["3A"]
4E,Sujeito Sociedade e Cultura,4,"[2, 0, 0, 0]",[]
5A,Física Ondulatória e Óptica,5,"[3, 1, 0, 0]",["4A", "4B"]
5B,Eletromagnetismo,5,"[4, 0, 0, 0]",["4B", "4C"]
5C,Química Geral I,5,"[3, 1, 0, 0]",[]
5D,Novas Tecnologias no Ensino de Física,5,"[0, 0, 3, 0]",[]
5E,Prática Docente I,5,"[0, 0, 0, 4]",[]
5F,Psicologia e Educação,5,"[3, 0, 0, 0]",[]
6A,Relatividade,6,"[2, 0, 0, 0]",["5A"]
6B,Física Quântica,6,"[4, 0, 0, 0]",["5A", "5B"]
6C,Projetos de Ensino de Eletromag e Ondulatória,6,"[0, 0, 3, 0]",["5A", "5B"]
6D,História e Filosofia da Ciência,6,"[3, 0, 0, 0]",[]
6E,Prática Docente II,6,"[0, 0, 0, 4]",["5E"]
6F,Educação em Ciências e Diversidade,6,"[3, 0, 0, 0]",[]
6G,Libras e Educação Intercultural,6,"[3, 0, 0, 0]",[]
7A,Física Moderna,7,"[4, 0, 0, 0]",["6B"]
7B,Epistemologia,7,"[3, 0, 0, 0]",["6D"]
7C,Projetos de Ensino de Física Moderna,7,"[0, 0, 3, 0]",["6A", "6B"]
7D,Prática Docente III,7,"[0, 0, 0, 4]",["6E"]
7E,Metodologia do Ensino de Física,7,"[3, 0, 0, 0]",["6F"]
8A,Física Estatística,8,"[4, 0, 0, 0]",["4A", "7A"]
8B,Introdução à Física do Estado Sólido,8,"[4, 0, 0, 0]",["7A"]
8C,Trabalho de Conclusão de Curso I,8,"[2, 0, 0, 0]",[]
8D,Prática Docente IV,8,"[0, 0, 0, 5]",["7D"]
8E,Políticas Públicas e Organização da Ed. Básica,8,"[3, 0, 0, 0]",[]
8F,Optativa I,8,"[4, 0, 0, 0]",[]
9A,Trabalho de Conclusão de Curso II,9,"[2, 0, 0, 0]",["8C"]
9B,Optativa II,9,"[4, 0, 0, 0]",[]
9C,Optativa III,9,"[4, 0, 0, 0]",[]
9D,Optativa IV,9,"[4, 0, 0, 0]",[]
